#Id	Names	Type	Con	RA	Dec	Mag	Size	Sep	PA	Class	Distance	Notes
Lucky 7	Lucky 7	Ast	Cas	23h 03m 00s	59° 30' 00"	5.0 - 7.0	195' x 70'					9 stars in the shape of a number '7'.
M 1	NGC 1952/M 1/Crab Nebula	SNR	Tau	05h 34m 30s	22° 01' 00"	8.4	8' x 4'			SNR	6.5kly	!
M 10	NGC 6254/M 10	GCl	Oph	16h 57m 06s	-04° 06' 00"	6.6	20'			VII	14.3kly	Nicely condensed
M 100	NGC 4321/M 100/The Mirror Galaxy	Gal	Com	12h 22m 54s	15° 49' 00"	9.4	7.5' x 6.1'			SBbc	53mly	Face on Sc
M 101	NGC 5457/M 101/Pinwheel Galaxy	Gal	UMa	14h 03m 12s	54° 21' 00"	7.9	28.5' x 28.3'			SBc	24mly	!! Face on Sc
M 102	NGC 5866/M 102/Fool's Gold Galaxy/The Spindle	Gal	Dra	15h 06m 30s	55° 46' 00"	9.9	5.2' x 2.3'			SO	50mly	! E6p lenticular
M 103	NGC 581/M 103	OCl	Cas	01h 33m 24s	60° 39' 00"	7.4	6'			III 2 p	9.5kly	172 stars
M 104	NGC 4594/M 104/Sombrero Galaxy	Gal	Vir	12h 40m 00s	-11° 37' 00"	8.0	8.6' x 4.2'			Sab	30mly	!!
M 105	NGC 3379/M 105	Gal	Leo	10h 47m 48s	12° 35' 00"	9.3	5.3' x 4.8'			E1	36mly	
M 106	NGC 4258/M 106	Gal	CVn	12h 19m 00s	47° 18' 00"	8.4	17.4' x 6.6'			SBbc	24mly	!! Distorted, tilted spiral
M 107	NGC 6171/M 107/The Crucifix Cluster	GCl	Oph	16h 32m 30s	-13° 03' 00"	7.8	13'			X	20.9kly	
M 108	NGC 3556/M 108	Gal	UMa	11h 11m 30s	55° 40' 00"	10.0	8.6' x 2.4'			SBc	45mly	! mottled
M 109	NGC 3992/M 109	Gal	UMa	11h 57m 36s	53° 22' 00"	9.8	7.5' x 4.4'			SBbc	55mly	Almost face on barred spiral
M 11	NGC 6705/M 11/Wild Duck Cluster	OCl	Sct	18h 51m 06s	-06° 16' 00"	5.8	11'			I 2 r	5.5kly	! 682 stars
M 110	NGC 205/M 110	Gal	And	00h 40m 24s	41° 41' 00"	8.1	19.5' x 11.5'			E6	2.7mly	
M 12	NGC 6218/M 12	GCl	Oph	16h 47m 12s	-01° 57' 00"	6.1	16'			IX	16kly	! Loosely concentrated
M 13	NGC 6205/M 13/Hercules Cluster	GCl	Her	16h 41m 42s	36° 28' 00"	5.8	20'			V	25.1kly	!! Dark lanes=the Propellor
M 14	NGC 6402/M 14	GCl	Oph	17h 37m 36s	-03° 15' 00"	7.6	11'			VIII	30kly	
M 15	NGC 7078/M 15/Pegasus Cluster	GCl	Peg	21h 30m 00s	12° 10' 00"	6.3	18'			IV	33.6kly	! Tight, condensed cluster
M 16	IC 4703/NGC 6611/M 16/Eagle Nebula	EN+OCl	Ser	18h 18m 48s	-13° 47' 00"	6.0	8'			II 3 m n:a	5.7kly	! 543 stars
M 17	NGC 6618/M 17/Swan Nebula/Omega Nebula/Checkmark Nebula	EN+OCl	Sgr	18h 21m 06s	-16° 11' 00"	6.0	27'			III 3 m n:	5.5kly	!! 660 stars
M 18	NGC 6613/M 18/Black Swan Cluster	OCl	Sgr	18h 20m 00s	-17° 06' 00"	6.9	7'			II 3 p n	4.9kly	40 stars
M 19	NGC 6273/M 19	GCl	Oph	17h 02m 36s	-26° 16' 00"	6.8	17'			VIII	28kly	Mag 16 stars, delicate
M 2	NGC 7089/M 2	GCl	Aqr	21h 33m 30s	00° 49' 00"	6.6	16'			II	37.5kly	!! Very condensed, impressive
M 20	NGC 6514/M 20/Trifid Nebula	EN+OCl	Sgr	18h 02m 30s	-23° 01' 00"	6.3	30'			E+*	2.66kly	!! 70 stars
M 21	NGC 6531/M 21	OCl	Sgr	18h 04m 12s	-22° 30' 00"	5.9	16'			I 3 m	3.93kly	100 stars
M 22	NGC 6656/M 22/Great Sagittarius Cluster	GCl	Sgr	18h 36m 24s	-23° 54' 00"	5.2	32'			VII	10.6kly	!! Massive, mag 11-15 stars
M 23	NGC 6494/M 23	OCl	Sgr	17h 56m 54s	-19° 01' 00"	5.5	25'			III 1 m	2.05kly	150 stars
M 24	M 24/Small Sagittarius Star Cloud	Star Cloud	Sgr	18h 18m 00s	-18° 32' 29"	4.6	90' x 60'			STARCLOUD	10kly	
M 25	IC 4725/M 25	OCl	Sgr	18h 31m 48s	-19° 07' 00"	4.6	26'			I 2 p	2.025kly	601 stars
M 26	NGC 6694/M 26	OCl	Sct	18h 45m 12s	-09° 23' 00"	8.0	10'			I 1 m	5.2kly	120 stars
M 27	NGC 6853/M 27/Dumbbell Nebula	PN	Vul	19h 59m 36s	22° 43' 00"	7.3	8' x 5.67'			3(2)	1.36kly	!! Dumbbell Nebula
M 28	NGC 6626/M 28	GCl	Sgr	18h 24m 30s	-24° 52' 00"	6.9	13.8'			IV	18.5kly	! Mag 14-16 stars, compact core, well resolved
M 29	NGC 6913/M 29/Cooling Tower Cluster	OCl	Cyg	20h 24m 06s	38° 30' 00"	6.6	10'			III 3 p n	3.75kly	81 stars
M 3	NGC 5272/M 3	GCl	CVn	13h 42m 12s	28° 23' 00"	6.3	18'			VI	34kly	!! Brilliant, nicely condensed GC
M 30	NGC 7099/M 30/Jellyfish Cluster	GCl	Cap	21h 40m 24s	-23° 11' 00"	6.9	12'			V	29.4kly	! Condensed nucleus
M 31	NGC 224/M 31/Andromeda Galaxy	Gal	And	00h 42m 42s	41° 16' 00"	3.5	210' x 45'			SB	2.52mly	!! Andromeda Galaxy w/M32 and M110
M 32	NGC 221/M 32	Gal	And	00h 42m 42s	40° 52' 00"	8.1	8.5' x 6.5'			E2	2.6mly	
M 33	NGC 598/M 33/Triangulum Galaxy	Gal	Tri	01h 33m 54s	30° 39' 00"	5.7	68.7' x 41.6'			Sc	2.8mly	!!
M 34	NGC 1039/M 34	OCl	Per	02h 42m 06s	42° 45' 00"	5.2	25'			II 3 m	1.63kly	60 stars
M 35	NGC 2168/M 35	OCl	Gem	06h 09m 00s	24° 21' 00"	5.1	25'			III 2 m	2.66kly	! 434 stars
M 36	NGC 1960/M 36	OCl	Aur	05h 36m 18s	34° 08' 00"	6.0	10'			II 3 m	4.1kly	60 stars
M 37	NGC 2099/M 37/Salt & Pepper Cluster	OCl	Aur	05h 52m 18s	32° 33' 00"	5.6	15'			II 1 r	4.5kly	! Best Messier OC in Auriga, 1842 stars
M 38	NGC 1912/M 38	OCl	Aur	05h 28m 42s	35° 51' 00"	6.4	15'			III 2 m	3.42kly	160 stars
M 39	NGC 7092/M 39	OCl	Cyg	21h 31m 54s	48° 26' 00"	4.6	31'			III 2 p	1.07kly	25 stars
M 4	NGC 6121/M 4/Crab Globular/Spider Globular	GCl	Sco	16h 23m 36s	-26° 32' 00"	5.4	36'			IX	7.2kly	!! Nicely resolved, chains of stars cross face of cluster
M 40	M 40/WIN4	Double	UMa	12h 20m 00s	58° 22' 00"	9.0		49				
M 41	NGC 2287/M 41/Little Beehive Cluster	OCl	CMa	06h 46m 06s	-20° 46' 00"	4.5	39'			II 3 m	2.3kly	80 stars
M 42	NGC 1976/M 42/Orion Nebula	EN+RN	Ori	05h 35m 18s	-05° 23' 00"	4.0	47' x 60'			E+R	1.35kly	!! w/M43 Orion Nebula, Theta 1 - The Trapezium, DN- NGC1999 1.2° south, use high power
M 43	NGC 1982/M 43/De Mairan's Nebula	EN	Ori	05h 35m 30s	-05° 16' 00"	9.0	20' x 15'			E	1.4kly	
M 44	M 44/NGC 2632	OCl	Cnc	08h 40m 06s	19° 59' 00"	3.1	95'					
M 45	M 45/NGC 1432/Dipper Bowl/Pleiades	OCl+Ast	Tau	03h 46m 54s	24° 07' 00"	1.2	110'					4 stars create a bowl, 1 star for the handle.
M 46	NGC 2437/M 46	OCl	Pup	07h 41m 48s	-14° 49' 00"	6.1	20'			III 2 m	4.485kly	!! 186 stars, with PN NGC2438
M 47	NGC 2422/M 47	OCl	Pup	07h 36m 36s	-14° 29' 00"	4.4	25'			III 2 m	1.6kly	117 stars
M 48	NGC 2548/M 48	OCl	Hya	08h 13m 42s	-05° 45' 00"	5.8	30'			I 2 m	2.51kly	80 stars
M 49	NGC 4472/M 49	Gal	Vir	12h 29m 48s	08° 00' 00"	8.4	9.8' x 8.2'			E4	53mly	Irr Galaxy N4470 10' south
M 5	NGC 5904/M 5/Rose Cluster	GCl	Ser	15h 18m 36s	02° 05' 00"	5.8	19.9'			V	24.5kly	!! numerous chains of stars
M 50	NGC 2323/M 50/Heart-Shaped Cluster	OCl	Mon	07h 02m 48s	-08° 23' 00"	5.9	15'			II 3 m	3.03kly	80 stars
M 51	NGC 5194/M 51/The Whirlpool Galaxy	Gal	CVn	13h 29m 54s	47° 12' 00"	8.4	10.8' x 6.6'			Sbc	26mly	!! companion N5195
M 52	NGC 7654/M 52/The Scorpion Cluster	OCl	Cas	23h 24m 54s	61° 36' 00"	6.9	16'			I 2 r	4.5kly	173 stars
M 53	NGC 5024/M 53	GCl	Com	13h 12m 54s	18° 10' 00"	7.7	13'			V	58kly	! Small, loose? resolves well
M 54	NGC 6715/M 54	GCl	Sgr	18h 55m 06s	-30° 29' 00"	7.7	12'			III	50kly	
M 55	NGC 6809/M 55/Specter Cluster	GCl	Sgr	19h 40m 00s	-30° 58' 00"	6.3	19'			XI	17.6kly	! Well resolved, mag 12-15 stars
M 56	NGC 6779/M 56	GCl	Lyr	19h 16m 36s	30° 11' 00"	8.4	8.8'			X	32.9kly	
M 57	NGC 6720/M 57/Ring Nebula	PN	Lyr	18h 53m 36s	33° 02' 00"	9.4	1.43' x 1.03'			4(3)	2.3kly	!! Ring Nebula
M 58	NGC 4579/M 58	Gal	Vir	12h 37m 42s	11° 49' 00"	9.7	6' x 4.8'			SBb	55mly	!
M 59	NGC 4621/M 59	Gal	Vir	12h 42m 00s	11° 39' 00"	9.6	5.3' x 4'			E3	52mly	
M 6	NGC 6405/M 6/Butterfly Cluster	OCl+Ast	Sco	17h 40m 18s	-32° 15' 00"	4.2	33'			III 2 p	1.59kly	331 stars. Looks like a butterfly viewed from the top.
M 60	NGC 4649/M 60	Gal	Vir	12h 43m 42s	11° 33' 00"	8.8	7.6' x 6.2'			E1	54mly	w/Mag 11 Galaxy N4647, M59 25' same direction as N4647
M 61	NGC 4303/M 61/Swelling Spiral	Gal	Vir	12h 21m 54s	04° 28' 00"	9.6	6.5' x 5.9'			SBbc Ring	50mly	! face on Sc
M 62	NGC 6266/M 62/Flickering Globular	GCl	Oph	17h 01m 12s	-30° 07' 00"	6.4	15'			IV	22.5kly	Mag 14-16 stars, compact core
M 63	NGC 5055/M 63/Sunflower Galaxy	Gal	CVn	13h 15m 48s	42° 02' 00"	8.6	12.6' x 7.5'			Sbc	25mly	!
M 64	NGC 4826/M 64/Black Eye Galaxy/Sleeping Beauty Galaxy	Gal	Com	12h 56m 42s	21° 41' 00"	8.5	10.3' x 5'			Sab	24mly	!!
M 65	NGC 3623/M 65/The Trio in Leo	Gal	Leo	11h 18m 54s	13° 05' 00"	9.3	9' x 2.3'			SBa	25mly	! dark lane, w/M66
M 66	NGC 3627/M 66/The Trio in Leo	Gal	Leo	11h 20m 12s	13° 00' 00"	8.9	9.1' x 4.1'			SBb	34mly	! Irr, distorted, also N3628 edge-on w/dust lane
M 67	NGC 2682/M 67/King Cobra Cluster	OCl	Cnc	08h 51m 18s	11° 49' 00"	6.9	25'			II 2 m	2.8kly	324 stars
M 68	NGC 4590/M 68	GCl	Hya	12h 39m 30s	-26° 45' 00"	7.3	11'			X	33kly	
M 69	NGC 6637/M 69	GCl	Sgr	18h 31m 24s	-32° 21' 00"	7.7	9.8'			V	29.7kly	
M 7	M 7/NGC 6475	OCl	Sco	17h 53m 54s	-34° 49' 00"	3.3	80'					
M 70	NGC 6681/M 70	GCl	Sgr	18h 43m 12s	-32° 18' 00"	7.8	8'			V	29.3kly	
M 71	NGC 6838/M 71/Angelfish Cluster/Arrowhead	GCl	Sge	19h 53m 48s	18° 47' 00"	8.4	6.1'			XI	12kly	! Small well resolved globular in rich star field
M 72	NGC 6981/M 72	GCl	Aqr	20h 53m 30s	-12° 32' 00"	9.2	6.6'			IX	53kly	
M 73	M 73/NGC 6994	OCl+Ast	Aqr	20h 59m 00s	-12° 38' 00"	9.0	2.8'					4 stars in shape of triangle.
M 74	NGC 628/M 74/Phantom Galaxy	Gal	Psc	01h 36m 42s	15° 47' 00"	9.4	10' x 9.4'			Sc	24mly	! Face on Sc
M 75	NGC 6864/M 75	GCl	Sgr	20h 06m 06s	-21° 55' 00"	8.6	6.8'			I	67.5kly	
M 76	NGC 650,651/M 76/Little Dumbbell/The Barbell/The Cork	PN	Per	01h 42m 18s	51° 35' 00"	11.0	2.7' x 1.78'			3(6)	2.1kly	!!
M 77	NGC 1068/M 77	Gal	Cet	02h 42m 42s	00° 01' 00"	8.9	7.3' x 6.3'			Sbp	45mly	! Seyfert
M 78	NGC 2068/M 78/Casper the Friendly Ghost	RN	Ori	05h 46m 48s	00° 05' 00"	8.0	8' x 6'			E	1.5kly	Comet like
M 79	NGC 1904/M 79	GCl	Lep	05h 24m 12s	-24° 31' 00"	7.7	9.6'			V	41kly	! Small, well resolved
M 8	NGC 6523/M 8/Lagoon Nebula	EN	Sgr	18h 04m 24s	-24° 23' 00"	4.6	15' x 30'			E	5.2kly	!! Cluster is NGC 6530
M 80	NGC 6093/M 80	GCl	Sco	16h 17m 00s	-22° 59' 00"	7.3	5.1'			II	32.6kly	! very condensed
M 81	NGC 3031/M 81/Bode's Nebula	Gal	UMa	09h 55m 36s	69° 04' 00"	6.9	24.9' x 11.5'			Sb	12mly	! Massive spiral galaxy
M 82	NGC 3034/M 82/Cigar Galaxy	Gal	UMa	09h 55m 54s	69° 41' 00"	8.4	10.5' x 5.1'			Sd	12mly	!! edge-on galaxy disrupted by M81
M 83	NGC 5236/M 83/Seashell Galaxy/Southern Pinwheel	Gal	Hya	13h 37m 00s	-29° 52' 00"	7.5	13.1' x 12.2'			SBc	15.8mly	!! SBc
M 84	NGC 4374/M 84	Gal	Vir	12h 25m 06s	12° 53' 00"	9.1	6.7' x 6'			E1	57mly	! w/M86, N4388, N4387 - the Flux Capacitor
M 85	NGC 4382/M 85	Gal	Com	12h 25m 24s	18° 11' 00"	9.1	7.4' x 5.9'			Sa	53mly	Barred Spiral N4394 7' east
M 86	NGC 4406/M 86	Gal	Vir	12h 26m 12s	12° 57' 00"	8.9	9.8' x 6.3'			E3	57mly	
M 87	NGC 4486/M 87	Gal	Vir	12h 30m 48s	12° 23' 00"	8.6	8.7' x 6.6'			E1p	51mly	! Jet extends NW
M 88	NGC 4501/M 88	Gal	Com	12h 32m 00s	14° 25' 00"	9.6	6.8' x 3.7'			Sbc	55mly	! spiral structure
M 89	NGC 4552/M 89	Gal	Vir	12h 35m 42s	12° 33' 00"	9.8	5.3' x 4.8'			EO	52mly	
M 9	NGC 6333/M 9	GCl	Oph	17h 19m 12s	-18° 31' 00"	7.8	12'			VIII	25.8kly	! w/B64
M 90	NGC 4569/M 90	Gal	Vir	12h 36m 48s	13° 10' 00"	9.5	9.9' x 4.4'			SBab	55mly	! dust lanes
M 91	NGC 4548/M 91	Gal	Com	12h 35m 24s	14° 30' 00"	10.1	5.2' x 4.2'			SBb	53mly	Face on barred spiral
M 92	NGC 6341/M 92	GCl	Her	17h 17m 06s	43° 08' 00"	6.5	14'			IV	26.7kly	! Resolves nicely
M 93	NGC 2447/M 93	OCl	Pup	07h 44m 30s	-23° 51' 00"	6.2	10'			IV 1 p	3.385kly	80 stars
M 94	NGC 4736/M 94/Croc's Eye Galaxy	Gal	CVn	12h 50m 54s	41° 07' 00"	8.2	12.3' x 10.8'				17mly	
M 95	NGC 3351/M 95	Gal	Leo	10h 44m 00s	11° 42' 00"	9.7	7.3' x 4.4'			SBb	33mly	Face on barred spiral
M 96	NGC 3368/M 96	Gal	Leo	10h 46m 48s	11° 49' 00"	9.3	7.8' x 5.2'			SBab Ring	34mly	Distorted w/dust lane and spiral structure
M 97	NGC 3587/M 97/Owl Nebula	PN	UMa	11h 14m 48s	55° 01' 00"	11.0	3.4' x 3.27'			3a	2.024kly	!
M 98	NGC 4192/M 98	Gal	Com	12h 13m 48s	14° 54' 00"	10.1	9.4' x 2.3'			SBb	55mly	! mottled
M 99	NGC 4254/M 99/St. Katherine's Wheel/Coma Pinwheel	Gal	Com	12h 18m 48s	14° 25' 00"	9.9	5.3' x 4.6'			Sc	55mly	! three spiral arms
Markov 1	Markov 1	Ast	Her	17h 57m 00s	29° 29' 00"	7.0	15'					Teapot shape of 9 stars. Northwest of the yellow star Xi  Herculis.
Meerschaum Pipe	Meerschaum Pipe	Ast	Cyg	19h 51m 00s	30° 07' 00"	9.0 - 12.0	22'					3/4° northwest of NGC 6834. 5 stars in line make the stem. 3 stars make up the bowl.
Mel 111	Mel 111	OCl	Com	12h 25m 00s	26° 00' 00"	1.8	4.583°					
Mel 20	Mel 20	OCl	Per	03h 22m 00s	49° 00' 00"	1.2	3.083°					
Mel 25	Mel 25/Cr 50/Hyades	OCl	Tau	04h 27m 00s	15° 52' 00"	0.5	5.5°					
Mel 71	Mel 71/Cr 155	OCl	Pup	07h 37m 30s	-12° 03' 00"	7.1	8'			II 1 m	10.3kly	216 stars
Metronome	Metronome/Dolidze 17/Stratton 2	Ast	Ori	05h 22m 00s	07° 05' 00"	7.0 - 8.0	12' x 17'					Consists of 6 stars. 5 of which has the appearance of a capitol Sigma. The 6th star provides the top of the metronome.
Mini Cassiopeia	Mini Cassiopeia/Kemble 2	Ast	Dra	18h 35m 00s	72° 25' 00"	7.0 - 8.0	20' x 10'					Looks just like constellation Cas. Best seen through large binoculars or small telescopes with a low magnification
Mini Coathanger	Mini Coathanger	Ast	UMi	16h 29m 00s	80° 13' 00"	10.0	15'					Straight line of 8 stars for the bar, 3 blue/white stars form, the hook.  Just above galaxy NGC 6217.
Mu Boo	Mu Boo	Double	Boo	15h 24m 30s	37° 23' 00"	4.3, 7.1		109	171			
Mu Cep	Mu Cep/Hershel's Garnet Star/Erakis	Variable	Cep	21h 43m 31s	48° 46' 48"	4.2						
Mu Dra	Mu Dra	Double	Dra	17h 05m 18s	54° 28' 00"	5.7, 5.7		2.4	5			
Mu Per	Mu Per	Double	Per	04h 14m 54s	48° 25' 00"	A=4.2, B=10.3, C=10.4		AB=14.7, AC=83.3				
N Hya	N Hya	Double	Hya	11h 32m 18s	-29° 16' 00"	5.6, 5.7		9.4	210			
Nagler 1	Nagler 1	Ast	CMa	06h 22m 00s	-26° 28' 00"	7.0 - 10.0	16' x 48'					In the shape of a chevron. Located just above galaxy NGC 2217 in Canis Major.
Napoleon's Hat	Picot 1/Napoleon's Hat	Ast	Boo	14h 14m 00s	18° 33' 00"	9.0 - 11.0	20'					7 stars form a chain that looks like the outline of a French Marshall´s hat.
NGC 1003	NGC 1003	Gal	Per	02h 39m 18s	40° 52' 00"	11.4	5.7' x 2.2'			Sc	19mly	
NGC 1022	NGC 1022	Gal	Cet	02h 38m 30s	-06° 40' 00"	11.2	1.8' x 1.4'					Bsp small almost stellar faint
NGC 1023	NGC 1023/Perseus Lenticular	Gal	Per	02h 40m 24s	39° 04' 00"	9.4	8.1' x 3.4'			E7p	36mly	! bright lens-shaped galaxy near M34
NGC 1027	NGC 1027/Cr 30	OCl	Cas	02h 42m 43s	61° 37' 59"	6.7	18'					
NGC 1049	NGC 1049	GCl	For	02h 39m 42s	-34° 17' 00"	12.9	24"					! Extragalactic GC - Part of Fornax Dwarf System
NGC 1052	NGC 1052	Gal	Cet	02h 41m 06s	-08° 15' 00"	11.2	1.3' x 1'					el stellar small hint nebulosity
NGC 1055	NGC 1055	Gal	Cet	02h 41m 48s	00° 26' 00"	11.5	6.7' x 1.5'					sp edge on elus same field M77
NGC 1084	NGC 1084	Gal	Eri	02h 43m 00s	-07° 35' 00"	11.0	2.1' x 1.1'					easy round brt nucleus. Sc - dark lane
NGC 1087	NGC 1087	Gal	Cet	02h 46m 24s	00° 30' 00"	10.9	3.9' x 2.3'			SBc Ring	58mly	
NGC 1097	NGC 1097	Gal	For	02h 46m 00s	-30° 17' 00"	9.3	9.3'			SBb		
NGC 1160	NGC 1160	Gal	Per	03h 01m 12s	44° 57' 00"	12.8	1.9' x 0.9'			SBc Ring	105mly	
NGC 1187	NGC 1187	Gal	Eri	03h 02m 36s	-22° 52' 00"	10.8	5.6' x 3.8'			SBc	55mly	multiple arm spiral, bar?, slightly tilted
NGC 1232	NGC 1232/Eye of God Galaxy	Gal	Eri	03h 09m 48s	-20° 35' 00"	9.9	7.1' x 6.3'			Sc	65mly	! face-on spiral; look for NGC 1300 nearby
NGC 1245	NGC 1245/Patrick Starfish	OCl	Per	03h 14m 42s	47° 14' 00"	8.4	10'			III 1 r	9.38kly	Dim, rich scatter of pinpoint stars. 200 stars
NGC 1275	NGC 1275	Gal	Per	03h 19m 48s	41° 34' 00"	11.6	2.6' x 1.9'					! Perseus A - brightest member of Perseus I Cluster (A426)
NGC 128	NGC 128	Gal	Psc	00h 29m 12s	02° 52' 00"	11.8	2.8' x 0.9'			SO Pec	200mly	
NGC 129	NGC 129	OCl	Cas	00h 29m 54s	60° 14' 00"	6.5	21'					
NGC 1291	NGC 1291	Gal	Eri	03h 17m 18s	-41° 08' 00"	8.5	10.5'			SB		round
NGC 1300	NGC 1300	Gal	Eri	03h 19m 42s	-19° 25' 00"	10.4	5.9' x 4.1'			SBbc	60mly	
NGC 1316	NGC 1316/Fornax A Elliptical	Gal	For	03h 22m 42s	-37° 12' 00"	8.2	13.5' x 9.3'			(R')SAB(s)0	59mly	w/mag12.2 NGC1317 (Sb)
NGC 1331	NGC 1331	Gal	Eri	03h 26m 30s	-21° 21' 00"	13.4	54"			E2	48mly	
NGC 1332	NGC 1332	Gal	Eri	03h 26m 18s	-21° 20' 00"	10.3	4' x 1.5'			E7	62mly	
NGC 1333	NGC 1333/Embryo Nebula	RN	Per	03h 29m 18s	31° 25' 00"	5.7	6' x 3'				720ly	
NGC 134	NGC 134/Giant Squid Galaxy	Gal	Scl	00h 30m 24s	-33° 15' 00"	10.0	8.5' x 1.9'			SB	60mly	nearly edge-on, in field of Eta SCL
NGC 1342	NGC 1342/Stingray Cluster	OCl	Per	03h 31m 42s	37° 22' 00"	6.7	17'			III 3 p	2.17kly	99 stars
NGC 133	NGC 133	OCl	Cas	00h 31m 12s	63° 22' 01"	9.4	7'					
NGC 146	NGC 133	OCl	Cas	00h 31m 07s	63° 18' 01"	9.1	6'					
NGC 136	NGC 136	OCl	Cas	00h 31m 30s	61° 32' 00"	11.3	1'					10 stars rich resolvable elongat
NGC 1360	NGC 1360/Comet Planetary	PN	For	03h 33m 12s	-25° 52' 00"	9.4	6' x 4.5'			3	1.7kly	egg-shaped, irregular - m8 central star
NGC 1365	NGC 1365	Gal	For	03h 33m 36s	-36° 08' 00"	9.6	11' x 6.2'			SBb	59mly	!! big, easy bar and spiral structure
NGC 1369	NGC 1369	Gal	For	03h 36m 48s	-36° 15' 00"	12.7	1.5' x 1.4'			SBO-a	59mly	
NGC 1380	NGC 1380	Gal	For	03h 36m 30s	-34° 59' 00"	10.2	5' x 2'					SO, lens shaped - Fornax I Cluster
NGC 1395	NGC 1395	Gal	Eri	03h 38m 30s	-23° 02' 00"	9.6	5.6' x 4.6'			E3	81mly	
NGC 1398	NGC 1398	Gal	For	03h 38m 54s	-26° 20' 00"	9.5	7.6' x 5.3'			(R')SB(rs)ab	55mly	round, very faint spiral arms
NGC 1399	NGC 1399	Gal	For	03h 38m 30s	-35° 27' 00"	9.6	6.6' x 6.1'			E1p	60mly	
NGC 1400	NGC 1400	Gal	Eri	03h 39m 30s	-18° 41' 00"	11.0	2.5' x 2.1'			E1	19mly	
NGC 1404	NGC 1404	Gal	For	03h 38m 54s	-35° 36' 00"	10.0	3.9' x 3.3'			E1	60mly	
NGC 1407	NGC 1407	Gal	Eri	03h 40m 12s	-18° 35' 00"	9.7	4.9' x 4.5'			EO	94mly	
NGC 1421	NGC 1421	Gal	Eri	03h 42m 30s	-13° 29' 00"	11.4	3.4' x 0.8'			SBbc	87mly	gray splinter, mottled, hooked on one end
NGC 1433	NGC 1433	Gal	Hor	03h 42m 00s	-47° 13' 00"	10.0	6.8'					SBa - prominent bar, nearly face-on
NGC 1435	NGC 1435/Merope Nebula/Tempel's Nebula	RN	Tau	03h 46m 12s	23° 46' 00"	4.2	30'			R	440ly	
NGC 1444	NGC 1444	OCl	Per	03h 49m 24s	52° 39' 00"	6.6	4'			IV 1 p	3.91kly	57 stars
NGC 147	NGC 147	Gal	Cas	00h 33m 12s	48° 30' 00"	9.5	13.5' x 8.2'			dE4	2.4mly	
NGC 1491	NGC 1491/Fossil Footprint Nebula	EN	Per	04h 03m 12s	51° 19' 00"		6' x 9'			E	10.7kly	visually small and faint emission nebula. Use UHC, looks like a comet
NGC 1501	NGC 1501/Oyster Nebula/The Camel's Eye	PN	Cam	04h 07m 00s	60° 55' 00"	12.0	55.8" x 48"			3	4.9kly	! classic PlN. faint; dark center; look for NGC 1502
NGC 1502	NGC 1502/Jolly Roger Cluster/Golden Harp Cluster	OCl	Cam	04h 07m 48s	62° 20' 00"	6.9	20'			II 3 p	2.68kly	! Irregular cluster, 25 stars, shaped like a cross-bow, Kemble's Cascade emanates from OC
NGC 1507	NGC 1507	Gal	Eri	04h 04m 30s	-02° 11' 00"	12.3	3.6' x 1'			SBp	34mly	
NGC 1513	NGC 1513	OCl	Per	04h 10m 00s	49° 31' 00"	8.8	12'					U-shaped, fairly condensed cluster of 40 stars
NGC 1514	NGC 1514/The Pansy/Crystal Ball Nebula	PN	Tau	04h 09m 18s	30° 47' 00"	10.8	2' x 1.5'			3(2)	600ly	faint glow around 9.4 mag central star
NGC 1528	NGC 1528	OCl	Per	04h 15m 18s	51° 13' 00"	6.4	18'			II 2 m	2.53kly	Rich triangular scatter of 80 stars
NGC 1531	NGC 1531	Gal	Eri	04h 12m 00s	-32° 51' 00"	12.2	1.2' x 0.9'			E6	50mly	
NGC 1532	NGC 1532	Gal	Eri	04h 12m 06s	-32° 52' 00"	9.9	11.6' x 3.4'			SBb	45mly	nearly edge-on, w/m12.1 NGC1531
NGC 1535	NGC 1535/Cleopatra's Eye/The Eskimo's Wife	PN	Eri	04h 14m 18s	-12° 44' 00"	10.4	19.8" x 16.8"			4(2c)	7kly	!! Smaller version of NGC3242. bright with blue-grey disk
NGC 1545	NGC 1545	OCl	Per	04h 20m 54s	50° 15' 00"	6.2	12'			II 2 p	2.32kly	65 stars
NGC 1554,1555	NGC 1554,1555/Hind's Variable Nebula/Struve's Lost Nebula	RN	Tau	04h 21m 54s	19° 32' 00"		30"			R	450ly	
NGC 157	NGC 157	Gal	Cet	00h 34m 48s	-08° 24' 00"	10.4	4.1' x 2.7'			SBbc	70mly	
NGC 1579	NGC 1579/The Northern Trifid	EN	Per	04h 30m 12s	35° 17' 00"	8.5	3'			R	2.1kly	
NGC 1647	NGC 1647/Pirate Moon Cluster	OCl	Tau	04h 45m 42s	19° 07' 00"	6.4	40'			II 2 m	3.6kly	200 stars
NGC 1662	NGC 1662/Cr 55	OCl	Ori	04h 48m 27s	10° 56' 13"	6.4	20'					
NGC 1664	NGC 1664	OCl	Aur	04h 51m 06s	43° 41' 00"	7.6	18'			III 1 p	3.91kly	101 stars
NGC 1746	NGC 1746	OCl	Tau	05h 03m 36s	23° 49' 00"	6.1	40'			III 1 p	2.48kly	20 stars
NGC 1750	NGC 1750	OCl	Tau	05h 03m 54s	23° 39' 00"		45'					Part of NGC 1746  3 clusters
