#Id	Names	Type	Con	RA	Dec	Mag	Size	Sep	PA	Class	Distance	Notes
Delta Her	Delta Her	Double	Her	17h 15m 00s	24° 50' 00"	3.1, 8.3		12.4	289			
Delta Ori	Delta Ori	Double	Ori	05h 32m 00s	00° 18' 00"	2.4, 6.8		52.4	0			
Delta Scl	Delta Scl	Double	Scl	23h 48m 54s	-28° 08' 00"	A=4.6, B=9.4, C=11.6		AB=3.4, AC=80				
Delta Ser	Delta Ser	Double	Ser	15h 34m 48s	10° 32' 00"	4.2, 5.2		4	172			widening
Djorg 2	Djorg 2/ESO 456-38	GCl	Sco	18h 01m 49s	-27° 49' 33"	9.9				b		
DNA	DNA	Ast	Aqr	23h 24m 38s	-21° 58' 48"	4.0	4° x 1°					Its brighter stars appear to be entwined in a spiral. The beginning of "spiral" are the stars 98 and 99 of Aquarius.
DoDz 5	DoDz 5	Ast	Her	16h 27m 00s	38° 04' 00"	8.0	27'					4 curved stars with 2 stars inside of the curve, looks like an anchor
DoDz 6	DoDz 6	Ast	Her	16h 45m 00s	38° 21' 00"	8.0	3.5'					4 faint stars curved with 2 brighter ones on one end. Looks like a tiny Scorpius
DoDz 7	DoDz 7	Ast	Her	17h 11m 00s	15° 29' 00"	10.0	10'					Looks like a sailboat. 6 curved stars make the hull, 1 star above for the mast, and 3 in a triangle for the sail.
DoDz 8	DoDz 8	Ast	Her	17h 26m 00s	24° 12' 00"	7.0	15'					Total of 7 stars with the shape of a five pointed star.
Double Triangle	Double Triangle	Ast	Tau	04h 32m 00s	17° 00' 00"	3.0 - 6.0	60' x 60'					6 stars form an equailateral triangle. 2 stars at each point. Part of Hyades star cluster.
DUN 116 ABC	DUN 116 ABC	Double	Hya	11h 56m 42s	-32° 16' 05"	A=7.6, B=7.8, C=11.6		AB=18.7, AC=28.9	AB=82, AC=32			
Eddie's Coaster	Eddie's Coaster	Ast	Cas	01h 04m 00s	63° 40' 00"	7.0 - 8.0	3°					Wave of stars "reminiscent of a roller coaster"
Einstein's Cross	Einstein's Cross/Q2237+030	Q	Peg	22h 40m 30s	03° 21' 00"	17.4					8154mly	? Einstein's Cross, 2 mag17.4 components, 2 mag18.4
EL Aur	EL Aur/HIP 23520	Carbon	Aur	05h 03m 23s	50° 37' 58"	8.5 - 8.7				C5(N3)		
Elosser 1	Elosser 1	Ast	Ori	04h 50m 00s	07° 51' 00"	7.0	21'					Sits halfway between Pi² and Pi³ Orionis. 13 stars hooked around a golden 9th magnitude star.
ENG 37	ENG 37	Double	Cnc	08h 40m 06s	20° 00' 08"	A=6.5, B=6.6, C=9.0		AB=151.8, AC=134.2, AD=135	AB=150, AC=309			
Engagement Ring	Engagement Ring	Ast	UMi	02h 32m 00s	89° 16' 00"	10.0	105'					Stars form a circle with Polaris as the diamond.
Epsilon Boo	Epsilon Boo/Izar	Double	Boo	14h 45m 00s	27° 04' 00"	2.6, 4.8		2.9	343			! orange, white
Epsilon CMa	Epsilon CMa	Double	CMa	06h 58m 36s	-28° 58' 00"	1.5, 7.5		7.9	162			! try this one before Sirius
Epsilon Dra	Epsilon Dra/Tyl	Double	Dra	19h 48m 12s	70° 15' 00"	3.9		3.3				! yellow, blue
Epsilon Equ	Epsilon Equ	Double	Equ	20h 59m 06s	04° 18' 00"	A=6.0, B=6.3, C=7.1		AB=0.6, AC=10.4				
Epsilon Lyr	Epsilon Lyra/Double Double	Double	Lyr	18h 44m 18s	39° 40' 00"	A=5.2, B=6.1, C=5.3, D=5.4		AB,CD=209.5, AB=2.3, CD=2.4	AB,CD=172, AB=345, CD=74			!
Epsilon Mon	Epsilon Mon	Double	Mon	06h 23m 48s	04° 36' 00"	4.4, 6.6		12.3	29			! gold, blue
Epsilon Peg	Epsilon Peg	Double	Peg	21h 44m 12s	09° 52' 00"	2.5, 8.7		145.4	318			
Eta Cas	Eta Cas/STF 60/Achird	Double	Cas	00h 49m 06s	57° 49' 00"	3.4, 7.5		12	323			!! yellow, blue
Eta CMa	Eta CMa	Double	CMa	07h 24m 05s	-28° 18' 11"	2.4, 6.8		179	286			
Eta Ori	Eta Ori	Double	Ori	05h 24m 30s	-02° 23' 00"	3.7		1.5				WSP Snowman
Eta Per	Eta Per/Miram	Double	Per	02h 50m 42s	55° 54' 00"	3.8, 8.5		31.4	295			! yellow, blue
Eta Sgr	Eta Sgr	Double	Sgr	18h 17m 42s	-36° 46' 00"	A=3.1, B=7.8, C=10.0		AB=3.6, AC=93.2				
Fairy Ring	Fairy Ring/Chaple's Arc	Ast	Cyg	20h 04m 00s	38° 10' 00"	7.0	22'					More like an arc than a complete ring, total of 7 stars.
Ferrero 6	Ferrero 6/Eiffel Tower	Ast	UMa	13h 10m 00s	57° 31' 00"	7.0	28' x 20'					Asterism in the shape of the Eiffel Tower
Fish Hook	Fish Hook	Ast	Tau	04h 25m 00s	21° 15' 00"	8.0 - 9.5	90'					3 Degrees north of Hyades. Star 56 Tauri is the end of hook. Stars 72 and 69 Tauri are the loop.
Fly and Fly Swatter	Fly and Fly Swatter/Biever 1	Ast	Hya	10h 37m 00s	-13° 23' 00"	6.0 - 7.0	2° x 3°					5 stars make the swatter, and 3 stars make the handle. "Carbon star U Hydrae is the fly about to be zapped by the flyswatter"
FO Ser	FO Ser/HIP 89783	Carbon	Ser	18h 19m 21s	-15° 36' 46"	8.5 - 8.7				C4(R6)		
Frederick's Glory	Frederick's Glory	Ast	And	23h 30m 00s	44° 00' 00"	4.0	3.5°					´Y´ shape formed by Iota; Kappa; Lambda and Psi Andromadae
FU Aur	FU Aur/HIP 27398	Carbon	Aur	05h 48m 08s	30° 37' 51"	8.3 - 8.5				C7(N0)		
FU Mon	FU Mon/HIP 30301	Carbon	Mon	06h 22m 23s	03° 25' 27"	8.5 - 9.8				C8 (CSe)		
Funnel	Funnel	Ast	Lep	05h 46m 00s	-15° 40' 00"	9.5 - 10.5	30'					1 degree south of star 14 Leporis. 7 stars comprise this asterism.
G1	G1/Mayall II	GCl	And	00h 33m 52s	39° 41' 23"	13.7	36"				2.5mly	brightest glob in Andromeda galaxy. in SW apex of triangle of stars.
