#id	flamsteed	bayer	con 	ra	dec	mag
4406				112411.1	-721524	5.59
4407				112557.1	+555102	5.75
4408	81		Leo	112536.4	+162723	5.57
4409				112529.4	-360347	5.22
4410	80		Leo	112550.0	+035136	6.37
4411				112533.1	-374452	5.89
4412				112625.5	+332702	6.32
4413				112543.2	-635822	5.17
4414	83		Leo	112645.3	+030047	6.50
4415				112635.3	-610655	5.30
4416	16	Kap	Crt	112709.5	-122124	5.94
4417				112647.3	-530936	5.81
4418	84	Tau	Leo	112756.2	+025122	4.95
4419				112753.7	-014200	6.25
4420				112758.5	-351943	6.45
4421				112904.6	+614642	5.83
4422	57		UMa	112904.2	+392013	5.31
4423				112835.1	-424027	5.08
4424				112943.5	+564415	6.28
4425				112818.2	-722828	6.09
4426	85		Leo	112941.9	+152448	5.74
4427				113012.9	+542142	6.41
4428				112938.6	-242748	5.76
4429				113150.4	+810738	6.15
4430				113025.0	+463927	6.35
4431	58		UMa	113031.1	+431024	5.94
4432	87		Leo	113018.9	-030013	4.77
4433	86		Leo	113029.0	+182435	5.52
4434	1	Lam	Dra	113124.2	+691952	3.84
4435				113052.9	+475545	6.42
4436				113110.2	+484721	6.56
4437	88		Leo	113144.9	+142152	6.20
4438				113115.0	-611642	6.38
4439				113220.8	+610457	5.48
4440				113147.6	-204636	6.24
4441		Omi1	Cen	113146.1	-592632	5.13
4442		Omi2	Cen	113148.8	-593057	5.15
4443				113216.1	-291548	5.81
4444				113216.3	-291540	5.64
4445				113223.3	-264448	6.16
4446				113247.5	-074939	5.95
4447				113248.1	-402611	5.64
4448				113219.9	-665744	5.90
4449				113254.1	-310514	5.04
4450		Xi	Hya	113300.1	-315128	3.54
4451				113314.6	-161650	6.05
4452				113356.3	+364856	6.40
4453				113337.3	-403513	5.39
4454				113410.0	+110125	6.55
4455	89		Leo	113422.0	+030336	5.77
4456	90		Leo	113442.5	+164749	5.95
4457				113504.9	+544707	5.63
4458				113429.5	-324953	5.98
4459				113503.8	+202629	6.45
4460				113445.7	-541551	4.62
4461	2		Dra	113602.8	+691922	5.20
4462				113456.8	-490812	5.50
4463				113513.2	-472221	5.71
4464				113543.4	+105440	6.56
4465				113617.9	+274652	5.80
4466				113555.6	-473830	5.25
4467		Lam	Cen	113546.8	-630111	3.13
4468	21	The	Crt	113640.9	-094808	4.70
4469				113635.0	-333412	5.74
4470				113640.8	-371416	6.31
4471	91	Ups	Leo	113656.9	-004926	4.30
4472				113622.3	-610308	5.83
4473				113701.2	-325917	6.29
4474				113753.0	+503706	6.14
4475				113700.6	-611700	5.15
4476				113733.9	-474450	5.44
4477	59		UMa	113820.6	+433732	5.59
4478				113809.8	+085303	6.17
4479		Pi	Cha	113715.6	-755348	5.65
4480	60		UMa	113833.5	+465003	6.10
4481				113849.2	+642049	6.46
4482				113832.2	+333732	6.27
4483	1	Ome	Vir	113827.6	+080803	5.36
4484				113824.1	-022610	6.22
4485				113748.4	-673713	5.96
4486				113844.9	+450631	6.44
4487				113807.3	-614935	5.15
4488	24	Iot	Crt	113840.1	-131207	5.48
4489				113900.4	-244316	6.42
4490				113951.1	-142807	6.21
4491				113950.4	-163713	6.19
4492				113929.4	-652352	5.17
4493				114027.4	+575814	6.37
4494		Omi	Hya	114012.8	-344441	4.70
4495	92		Leo	114047.1	+212110	5.26
4496	61		UMa	114103.0	+341206	5.33
4497				114042.6	-535807	5.96
4498				114108.4	-291147	6.44
4499				114053.6	-620524	4.94
4500				114143.6	+551021	6.27
4501	62		UMa	114134.3	+314446	5.73
4502				114119.8	-430545	5.55
4503				114144.0	-322959	5.22
4504	3		Dra	114228.4	+664442	5.30
4505				114205.2	+221239	6.59
4506				114203.5	-201738	6.22
4507				114101.2	-830600	6.33
4508				114327.2	-371125	5.98
4509				114255.4	-791823	6.39
4510				114355.1	-064038	6.07
4511				114331.2	-622922	5.03
4512				114413.2	+251306	6.02
4513				114352.9	-625242	6.10
4514	27	Zet	Crt	114445.8	-182103	4.73
4515	2	Xi	Vir	114517.1	+081530	4.85
4516				114512.6	-490411	6.26
4517	3	Nu	Vir	114551.6	+063146	4.03
4518	63	Chi	UMa	114603.0	+474646	3.71
4519				114543.9	-454124	5.29
4520		Lam	Mus	114536.4	-664343	3.64
4521				114655.6	+553742	5.27
4522				114630.8	-611042	4.11
4523				114631.1	-403002	4.91
4524				114707.0	-355425	6.17
4525				114715.7	-301713	6.48
4526				114719.1	-574147	5.41
4527	93		Leo	114759.1	+201308	4.53
4528	4		Vir	114754.9	+081445	5.32
4529				114823.5	-101848	6.26
4530		Mu	Mus	114814.3	-664853	4.72
4531				114838.7	+141703	5.88
4532				114845.1	-264459	5.11
4533				114901.2	-001907	6.15
4534	94	Bet	Leo	114903.6	+143419	2.14
4535				114914.9	+161434	6.04
4536				114941.7	+345554	5.70
4537				114941.1	-634718	4.32
4538				114956.6	-701333	4.97
4539				115019.5	-155150	6.13
4540	5	Bet	Vir	115041.7	+014553	3.61
4541				115027.2	-623858	5.70
4542				115037.1	-271640	6.48
4543				115055.3	+121644	6.35
4544				115102.2	-052000	5.64
4545				115109.4	+332230	6.27
4546				115108.7	-451025	4.46
4547				115121.9	-121116	6.35
